"Code";" Description";"Unit of Measure";" Trips Per Unit 1";" Trips Per Unit 2";"TripPurpose";"Cadastral"
30;" Intermodal Truck Terminal";" 1,000 SF GFA";" 1.72";;;
90;" Park-and-Ride Lot with Bus Service";" Parking Spaces";" 0.43";;;
110;" General Light Industrial";" 1,000 SF GFA";" 0.63";;;
130;" Industrial Park";" 1,000 SF GFA";" 0.40";;;
140;" Manufacturing";" 1,000 SF GFA";" 0.67";;;
150;" Warehousing";" 1,000 SF GFA";" 0.19";;;
151;" Mini-Warehouse";" 1,000 SF GFA";" 0.17";;;
154;" High-Cube Transload & Short-Term Storage Warehouse";" 1,000 SF GFA";" 0.10";;;
155;" High-Cube Fulfillment Center Warehouse";" 1,000 SF GFA";" 1.37";;;
156;" High-Cube Parcel Hub Warehouse";" 1,000 SF GFA";" 0.64";;;
157;" High-Cube Cold Storage Warehouse";" 1,000 SF GFA";" 0.12";;;
160;" Data Center";" 1,000 SF GFA";" 0.09";;;
170;" Utilities";" 1,000 SF GFA";" 2.27";;;
180;" Specialty Trade Contractor";" 1,000 SF GFA";" 1.97";;;
210;" Single-Family Detached Housing";" Dwelling Units";" 0.99";;"Home";"housing_area"
220;" Multifamily Housing (Low-Rise)";" Dwelling Units";" 0.56";;"Home";"housing_area"
221;" Multifamily Housing (Mid-Rise)";" Dwelling Units";" 0.44";" 0.18";"Home";"housing_area"
222;" Multifamily Housing (High-Rise)";" Dwelling Units";" 0.36";" 0.19";"Home";"housing_area"
231;" Mid-Rise Residential with 1st-Floor Commercial";" Dwelling Units";" 0.36";;"Home";"housing_area"
232;" High-Rise Residential with 1st-Floor Commercial";" Dwelling Units";" 0.21";;"Home";"housing_area"
240;" Mobile Home Park";" Dwelling Units";" 0.46";;;
251;" Senior Adult Housing - Detached";" Dwelling Units";" 0.30";;;
252;" Senior Adult Housing - Attached";" Dwelling Units";" 0.26";;;
253;" Congregate Care Facility";" Dwelling Units";" 0.18";;;
254;" Assisted Living";" 1,000 SF GFA";" 0.48";;"Care ";"care_area"
255;" Continuing Care Retirement Community";" Units";" 0.16";;;
260;" Recreation Homes";" Dwelling Units";" 0.28";;;
265;" Timeshare";" Dwelling Units";" 0.63";;;
270;" Residential Planned Unit Development";" Dwelling Units";" 0.69";;;
310;" Hotel";" Rooms";" 0.60";;;
311;" All Suites Hotel";" Rooms";" 0.36";" 0.17";;
312;" Business Hotel";" Rooms";" 0.32";;;
320;" Motel";" Rooms";" 0.38";;;
